ID,svm_responded,lr_responded
0,no,no
1,no,no
2,no,no
3,no,no
4,no,no
5,no,no
6,no,no
7,no,no
8,yes,yes
9,no,no
10,no,no
11,no,no
12,no,no
13,no,no
14,no,no
15,no,no
16,no,no
17,no,no
18,no,no
19,no,no
20,no,no
21,no,no
22,no,no
23,no,no
24,no,no
25,no,no
26,no,no
27,no,no
28,no,no
29,no,no
30,no,no
31,no,no
32,no,no
33,no,no
34,no,no
35,no,no
36,no,no
37,no,no
38,no,no
39,no,no
40,no,no
41,no,no
42,no,no
43,no,no
44,no,no
45,no,no
46,no,no
47,no,no
48,no,no
49,no,no
50,no,no
51,no,no
52,no,no
53,no,no
54,no,no
55,yes,yes
56,no,no
57,no,no
58,no,no
59,no,no
60,no,no
61,no,no
62,no,no
63,no,no
64,no,no
65,no,no
66,no,no
67,no,no
68,no,no
69,no,no
70,no,no
71,no,no
72,no,no
73,no,no
74,no,no
75,no,no
76,no,no
77,no,no
78,no,no
79,no,no
80,no,no
81,no,no
82,no,no
83,no,no
84,no,no
85,no,no
86,no,no
87,no,no
88,no,no
89,no,no
90,yes,yes
91,no,no
92,no,no
93,no,no
94,no,no
95,no,no
96,no,no
97,no,no
98,no,no
99,no,no
100,no,no
101,no,no
102,no,no
103,no,no
104,no,no
105,no,no
106,no,no
107,no,no
108,no,no
109,no,no
110,no,no
111,no,no
112,no,no
113,no,no
114,no,no
115,no,no
116,no,no
117,no,no
118,no,no
119,no,no
120,no,no
121,yes,yes
122,no,no
123,no,no
124,no,no
125,no,no
126,no,no
127,no,no
128,yes,yes
129,no,no
130,no,no
131,no,no
132,no,no
133,no,no
134,no,no
135,no,no
136,no,no
137,no,no
138,no,no
139,no,no
140,no,no
141,no,no
142,no,no
143,no,no
144,no,no
145,no,no
146,no,no
147,yes,yes
148,no,no
149,no,no
150,no,no
151,no,no
152,no,no
153,no,no
154,no,no
155,no,no
156,no,no
157,no,no
158,no,no
159,no,no
160,no,no
161,no,no
162,no,no
163,no,no
164,no,no
165,no,no
166,no,no
167,no,no
168,no,no
169,no,no
170,no,no
171,no,no
172,no,no
173,no,no
174,no,no
175,no,no
176,no,no
177,no,no
178,no,no
179,no,no
180,no,no
181,no,no
182,no,no
183,no,no
184,no,no
185,no,no
186,no,no
187,no,no
188,no,no
189,no,no
190,no,no
191,no,no
192,no,no
193,no,no
194,no,no
195,no,no
196,no,no
197,no,no
198,no,no
199,no,no
200,no,no
201,no,no
202,no,no
203,no,no
204,no,no
205,no,no
206,no,no
207,no,no
208,no,no
209,no,no
210,no,no
211,no,no
212,no,no
213,no,no
214,no,no
215,no,no
216,no,no
217,no,no
218,no,no
219,no,no
220,no,no
221,no,no
222,no,no
223,no,no
